Best Value: 	2551

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	2.57675
Initial Value:	3785
Best Value: 	2527

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	5.0687
Initial Value:	3785
Best Value: 	2745

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	7.79622
Initial Value:	3785
Best Value: 	2674

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	10.4826
Initial Value:	3785
Best Value: 	2376

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
Time elapsed:	1.76143
Initial Value:	3785
Best Value: 	2527

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	3.48514
Initial Value:	3785
Best Value: 	2527

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	5.18136
Initial Value:	3785
Best Value: 	2745

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	6.93925
Initial Value:	3785
Best Value: 	2598

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	1.35652
Initial Value:	3785
Best Value: 	2674

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	2.6333
Initial Value:	3785
Best Value: 	2745

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	4.02065
Initial Value:	3785
Best Value: 	2376

Filename:	./Data/ESC25.sop
Metaheuristic:	0
Threads:	4
Iterations:	20000
Time elapsed:	5.25449
Initial Value:	3785
Best Value: 	2223

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	26.2309
Initial Value:	5197
Best Value: 	4085

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	52.4963
Initial Value:	5197
Best Value: 	3748

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	78.8441
Initial Value:	5197
Best Value: 	3748

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	105.301
Initial Value:	5197
Best Value: 	3748

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	13.6761
Initial Value:	5197
Best Value: 	4190

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	26.8676
Initial Value:	5197
Best Value: 	4289

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	40.5351
Initial Value:	5197
Best Value: 	4147

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	54.4637
Initial Value:	5197
Best Value: 	3974

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
Time elapsed:	9.23557
Initial Value:	5197
Best Value: 	3692

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	18.2884
Initial Value:	5197
Best Value: 	4064

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	27.6185
Initial Value:	5197
Best Value: 	4052

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	37.0544
Initial Value:	5197
Best Value: 	3484

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	7.03544
Initial Value:	5197
Best Value: 	4072

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	14.0319
Initial Value:	5197
Best Value: 	3911

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	20.9903
Initial Value:	5197
Best Value: 	3714

Filename:	./Data/ESC47.sop
Metaheuristic:	0
Threads:	4
Iterations:	20000
Time elapsed:	28.7771
Initial Value:	5197
Best Value: 	4046

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	107.903
Initial Value:	23320
Best Value: 	18860

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	215.416
Initial Value:	23320
Best Value: 	18860

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	321.72
Initial Value:	23320
Best Value: 	18645

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	432.031
Initial Value:	23320
Best Value: 	18645

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	54.8986
Initial Value:	23320
Best Value: 	18855

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	111.675
Initial Value:	23320
Best Value: 	18800

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	164.401
Initial Value:	23320
Best Value: 	18775

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	220.597
Initial Value:	23320
Best Value: 	18685

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
Time elapsed:	37.6891
Initial Value:	23320
Best Value: 	18870

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	75.083
Initial Value:	23320
Best Value: 	18705

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	111.35
Initial Value:	23320
Best Value: 	18735

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	149.527
Initial Value:	23320
Best Value: 	18530

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	28.4497
Initial Value:	23320
Best Value: 	18780

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	56.6745
Initial Value:	23320
Best Value: 	18780

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	84.494
Initial Value:	23320
Best Value: 	18635

Filename:	./Data/ESC78.sop
Metaheuristic:	0
Threads:	4
Iterations:	20000
Time elapsed:	113.385
Initial Value:	23320
Best Value: 	18520

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	76.1651
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	151.663
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	229.371
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	303.674
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	39.4642
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	77.7701
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	116.906
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	157.54
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
