Filename:	Metaheuristic:	Threads:	Iterations:	Time elapsed:	Initial Value:	Best Value: 	
./Data/ESC07.sop	1	1	5000	0.236521	2625	2125
./Data/ESC07.sop	1	1	10000	0.471724	2625	2125
./Data/ESC07.sop	1	1	15000	0.707313	2625	2125
./Data/ESC07.sop	1	1	20000	0.940496	2625	2125
./Data/ESC07.sop	1	2	5000	0.12212	2625	2125
./Data/ESC07.sop	1	2	10000	0.240049	2625	2125
./Data/ESC07.sop	1	2	15000	0.366009	2625	2125
./Data/ESC07.sop	1	2	20000	0.485409	2625	2125
./Data/ESC07.sop	1	3	5000	0.0868627	2625	2125
./Data/ESC07.sop	1	3	10000	0.165303	2625	2125
./Data/ESC07.sop	1	3	15000	0.248647	2625	2125
./Data/ESC07.sop	1	3	20000	0.339441	2625	2125
./Data/ESC07.sop	1	4	5000	0.0727508	2625	2125
./Data/ESC07.sop	1	4	10000	0.136789	2625	2125
./Data/ESC07.sop	1	4	15000	0.200166	2625	2125
./Data/ESC07.sop	1	4	20000	0.264637	2625	2125
./Data/ft70.1.sop	1	1	5000	71.8539	46060	44894
./Data/ft70.1.sop	1	1	10000	143.476	46060	44894
./Data/ft70.1.sop	1	1	15000	215.468	46060	44894
./Data/ft70.1.sop	1	1	20000	288.644	46060	44894
./Data/ft70.1.sop	1	2	5000	36.907	46060	44894
./Data/ft70.1.sop	1	2	10000	73.4907	46060	44894
./Data/ft70.1.sop	1	2	15000	110.888	46060	44894
./Data/ft70.1.sop	1	2	20000	148.93	46060	44894
./Data/ft70.1.sop	1	3	5000	25.2379	46060	44894
./Data/ft70.1.sop	1	3	10000	50.8471	46060	44894
./Data/ft70.1.sop	1	3	15000	75.8715	46060	44894
./Data/ft70.1.sop	1	3	20000	101.232	46060	44894
./Data/ft70.1.sop	1	4	5000	19.2303	46060	44894
./Data/ft70.1.sop	1	4	10000	38.5034	46060	44894
./Data/ft70.1.sop	1	4	15000	57.7468	46060	44894
./Data/ft70.1.sop	1	4	20000	76.8237	46060	44894
